# MEAN_SAMPLE_SIZE = 90438
# TOTAL_GENES = 18882
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
VARIABLE                                TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
BIOCARTA_MAPK_PATHWAY                    SET      77     0.054511     0.003474      0.08891      0.26991 BIOCARTA_MAPK_PATHWAY
BIOCARTA_MCALPAIN_PATHWAY                SET      18     0.035982    0.0011105      0.18239      0.42181 BIOCARTA_MCALPAIN_PATHWAY
BIOCARTA_MCM_PATHWAY                     SET      18    -0.080185   -0.0024746      0.18002      0.67199 BIOCARTA_MCM_PATHWAY
BIOCARTA_MEF2D_PATHWAY                   SET      18    -0.080004    -0.002469       0.2133      0.64619 BIOCARTA_MEF2D_PATHWAY
BIOCARTA_MELANOCYTE_PATHWAY              SET       7     -0.14079   -0.0027104      0.41394      0.63312 BIOCARTA_MELANOCYTE_PATHWAY
BIOCARTA_MET_PATHWAY                     SET      32      0.13173    0.0054183      0.14324      0.17889 BIOCARTA_MET_PATHWAY
BIOCARTA_MHC_PATHWAY                     SET      12     -0.28398   -0.0071569      0.26734      0.85593 BIOCARTA_MHC_PATHWAY
BIOCARTA_MITOCHONDRIA_PATHWAY            SET      17    -0.072786    -0.002183      0.19321       0.6468 BIOCARTA_MITOCHONDRIA_PATHWAY
BIOCARTA_MITR_PATHWAY                    SET       5       0.7266     0.011823      0.34364     0.017247 BIOCARTA_MITR_PATHWAY
BIOCARTA_MONOCYTE_PATHWAY                SET      10       0.4031    0.0092744      0.29773     0.087888 BIOCARTA_MONOCYTE_PATHWAY
BIOCARTA_MPR_PATHWAY                     SET      21      0.20635    0.0068781      0.17872      0.12414 BIOCARTA_MPR_PATHWAY
BIOCARTA_MRP_PATHWAY                     SET       6      0.14432    0.0025722      0.34064      0.33591 BIOCARTA_MRP_PATHWAY
BIOCARTA_MSP_PATHWAY                     SET       6      0.32254    0.0057488      0.28766       0.1311 BIOCARTA_MSP_PATHWAY
BIOCARTA_MTA3_PATHWAY                    SET      18     -0.24732   -0.0076328      0.18921      0.90441 BIOCARTA_MTA3_PATHWAY
BIOCARTA_MTOR_PATHWAY                    SET      21      0.18729    0.0062425      0.16737      0.13159 BIOCARTA_MTOR_PATHWAY
BIOCARTA_MYOSIN_PATHWAY                  SET      11      0.16386    0.0039539       0.2719      0.27338 BIOCARTA_MYOSIN_PATHWAY
BIOCARTA_NDKDYNAMIN_PATHWAY              SET      17      0.38929     0.011676      0.19921     0.025348 BIOCARTA_NDKDYNAMIN_PATHWAY
BIOCARTA_NEUTROPHIL_PATHWAY              SET       7      0.46156    0.0088856      0.34118     0.088059 BIOCARTA_NEUTROPHIL_PATHWAY
BIOCARTA_NFAT_PATHWAY                    SET      51      0.19449     0.010094      0.11473     0.045034 BIOCARTA_NFAT_PATHWAY
BIOCARTA_NFKB_PATHWAY                    SET      19      0.33033     0.010473      0.17641     0.030577 BIOCARTA_NFKB_PATHWAY
BIOCARTA_NGF_PATHWAY                     SET      19      0.13723    0.0043511       0.1873      0.23188 BIOCARTA_NGF_PATHWAY
BIOCARTA_NKCELLS_PATHWAY                 SET      20     0.011184   0.00036381      0.18346       0.4757 BIOCARTA_NKCELLS_PATHWAY
BIOCARTA_NKT_PATHWAY                     SET      22     -0.31152    -0.010627      0.18956      0.94984 BIOCARTA_NKT_PATHWAY
BIOCARTA_NO1_PATHWAY                     SET      28      0.21009    0.0080845      0.17446      0.11425 BIOCARTA_NO1_PATHWAY
BIOCARTA_NO2IL12_PATHWAY                 SET      14     -0.22649    -0.006165      0.23902      0.82832 BIOCARTA_NO2IL12_PATHWAY
BIOCARTA_NOS1_PATHWAY                    SET      20       0.2268    0.0073776      0.17665     0.099595 BIOCARTA_NOS1_PATHWAY
BIOCARTA_NOTCH_PATHWAY                   SET       6    -0.094061   -0.0016765      0.29813      0.62381 BIOCARTA_NOTCH_PATHWAY
BIOCARTA_NPC_PATHWAY                     SET      11    -0.089398   -0.0021572      0.24593      0.64189 BIOCARTA_NPC_PATHWAY
BIOCARTA_NPP1_PATHWAY                    SET       8      0.91606     0.018852      0.34413     0.003888 BIOCARTA_NPP1_PATHWAY
BIOCARTA_NTHI_PATHWAY                    SET      22      0.40506     0.013819       0.1812     0.012701 BIOCARTA_NTHI_PATHWAY
BIOCARTA_NUCLEARRS_PATHWAY               SET      34      0.12632    0.0053557      0.14624      0.19385 BIOCARTA_NUCLEARRS_PATHWAY
BIOCARTA_P27_PATHWAY                     SET      13     -0.14677   -0.0038499      0.21564      0.75194 BIOCARTA_P27_PATHWAY
BIOCARTA_P35ALZHEIMERS_PATHW...          SET       8    -0.046486  -0.00095667      0.28051      0.56581 BIOCARTA_P35ALZHEIMERS_PATHWAY
BIOCARTA_P38MAPK_PATHWAY                 SET      35      0.17774    0.0076453       0.1361     0.095804 BIOCARTA_P38MAPK_PATHWAY
BIOCARTA_P53HYPOXIA_PATHWAY              SET      20      0.14922    0.0048539      0.19509      0.22219 BIOCARTA_P53HYPOXIA_PATHWAY
BIOCARTA_P53_PATHWAY                     SET      16     -0.06647   -0.0019341      0.20144      0.62929 BIOCARTA_P53_PATHWAY
BIOCARTA_PAR1_PATHWAY                    SET      19      0.19831    0.0062877      0.21281      0.17571 BIOCARTA_PAR1_PATHWAY
BIOCARTA_PARKIN_PATHWAY                  SET       8     -0.24564   -0.0050551      0.33647      0.76731 BIOCARTA_PARKIN_PATHWAY
BIOCARTA_PCAF_PATHWAY                    SET      13      0.14216    0.0037289      0.21664      0.25585 BIOCARTA_PCAF_PATHWAY
BIOCARTA_PDGF_PATHWAY                    SET      27    -0.010812  -0.00040855      0.15233      0.52829 BIOCARTA_PDGF_PATHWAY
BIOCARTA_PDZS_PATHWAY                    SET      14      0.25026    0.0068122      0.23509      0.14355 BIOCARTA_PDZS_PATHWAY
BIOCARTA_PELP1_PATHWAY                   SET       6     -0.43377   -0.0077312      0.32614      0.90823 BIOCARTA_PELP1_PATHWAY
BIOCARTA_PEPI_PATHWAY                    SET       8      -0.4174   -0.0085901       0.3165      0.90638 BIOCARTA_PEPI_PATHWAY
BIOCARTA_PGC1A_PATHWAY                   SET      15      0.39961     0.011259      0.20554     0.025944 BIOCARTA_PGC1A_PATHWAY
BIOCARTA_PITX2_PATHWAY                   SET      15     -0.12736   -0.0035883      0.22039      0.71832 BIOCARTA_PITX2_PATHWAY
BIOCARTA_PKC_PATHWAY                     SET       7      0.50644    0.0097496       0.3361     0.065936 BIOCARTA_PKC_PATHWAY
BIOCARTA_PLATELETAPP_PATHWAY             SET      11      0.73944     0.017843      0.26729    0.0028371 BIOCARTA_PLATELETAPP_PATHWAY
BIOCARTA_PLCD_PATHWAY                    SET       5      0.78126     0.012712      0.44839     0.040731 BIOCARTA_PLCD_PATHWAY
BIOCARTA_PLCE_PATHWAY                    SET      11      0.34569    0.0083416      0.26411     0.095288 BIOCARTA_PLCE_PATHWAY
BIOCARTA_PLC_PATHWAY                     SET       9      0.35971    0.0078515      0.28146      0.10063 BIOCARTA_PLC_PATHWAY
BIOCARTA_PLK3_PATHWAY                    SET       8    -0.020689  -0.00042577      0.27014      0.53052 BIOCARTA_PLK3_PATHWAY
BIOCARTA_PML_PATHWAY                     SET      17     -0.30009   -0.0090006      0.20292      0.93041 BIOCARTA_PML_PATHWAY
BIOCARTA_PPARA_PATHWAY                   SET      52     0.013216   0.00069261      0.11318      0.45352 BIOCARTA_PPARA_PATHWAY
BIOCARTA_PPARG_PATHWAY                   SET       8      0.32978    0.0067868      0.39018      0.19901 BIOCARTA_PPARG_PATHWAY
BIOCARTA_PRC2_PATHWAY                    SET      13     -0.13664   -0.0035841       0.2422      0.71367 BIOCARTA_PRC2_PATHWAY
BIOCARTA_PRION_PATHWAY                   SET      12     -0.20277   -0.0051102       0.2371      0.80378 BIOCARTA_PRION_PATHWAY
BIOCARTA_PROTEASOME_PATHWAY              SET      16    -0.092941   -0.0027044      0.19403      0.68403 BIOCARTA_PROTEASOME_PATHWAY
BIOCARTA_PS1_PATHWAY                     SET      13     0.013794   0.00036183      0.20657      0.47338 BIOCARTA_PS1_PATHWAY
BIOCARTA_PTC1_PATHWAY                    SET      11     0.011642   0.00028092      0.20263      0.47709 BIOCARTA_PTC1_PATHWAY
BIOCARTA_PTDINS_PATHWAY                  SET      22      0.02945    0.0010047      0.15971      0.42685 BIOCARTA_PTDINS_PATHWAY
BIOCARTA_PTEN_PATHWAY                    SET      18      0.33892      0.01046      0.18882     0.036337 BIOCARTA_PTEN_PATHWAY
BIOCARTA_PYK2_PATHWAY                    SET      27       0.2489    0.0094056      0.15914      0.05891 BIOCARTA_PYK2_PATHWAY
BIOCARTA_RAB_PATHWAY                     SET      12     -0.48826    -0.012305      0.20937      0.99015 BIOCARTA_RAB_PATHWAY
BIOCARTA_RAC1_PATHWAY                    SET      21     0.060669    0.0020222      0.17631      0.36538 BIOCARTA_RAC1_PATHWAY
BIOCARTA_RACCYCD_PATHWAY                 SET      25      0.23602    0.0085826      0.15343     0.062001 BIOCARTA_RACCYCD_PATHWAY
BIOCARTA_RACC_PATHWAY                    SET      13     0.013537   0.00035508      0.27462      0.48034 BIOCARTA_RACC_PATHWAY
BIOCARTA_RANBP2_PATHWAY                  SET      10     -0.06638   -0.0015272      0.25261      0.60364 BIOCARTA_RANBP2_PATHWAY
BIOCARTA_RANKL_PATHWAY                   SET      14     0.096179     0.002618      0.21334      0.32606 BIOCARTA_RANKL_PATHWAY
BIOCARTA_RANMS_PATHWAY                   SET      10     -0.35649    -0.008202      0.22033      0.94716 BIOCARTA_RANMS_PATHWAY
BIOCARTA_RAN_PATHWAY                     SET       5     -0.37024   -0.0060241      0.36737      0.84322 BIOCARTA_RAN_PATHWAY
BIOCARTA_RARRXR_PATHWAY                  SET       7      0.48174    0.0092741      0.43127        0.132 BIOCARTA_RARRXR_PATHWAY
BIOCARTA_RAS_PATHWAY                     SET      20     0.094112    0.0030614      0.19031      0.31047 BIOCARTA_RAS_PATHWAY
BIOCARTA_RB_PATHWAY                      SET      13    -0.033204  -0.00087097      0.20342      0.56483 BIOCARTA_RB_PATHWAY
BIOCARTA_RECK_PATHWAY                    SET       8      0.12918    0.0026585      0.31975      0.34311 BIOCARTA_RECK_PATHWAY
BIOCARTA_REELIN_PATHWAY                  SET       7      0.34512     0.006644      0.31838      0.13919 BIOCARTA_REELIN_PATHWAY
BIOCARTA_RELA_PATHWAY                    SET      14      0.29834     0.008121      0.21473      0.08237 BIOCARTA_RELA_PATHWAY
BIOCARTA_RHODOPSIN_PATHWAY               SET       9      0.27132    0.0059221      0.24474      0.13382 BIOCARTA_RHODOPSIN_PATHWAY
BIOCARTA_RHO_PATHWAY                     SET      18    0.0052953   0.00016342       0.1916      0.48898 BIOCARTA_RHO_PATHWAY
BIOCARTA_RNAPOL3_PATHWAY                 SET       7     -0.35454   -0.0068254      0.30078      0.88075 BIOCARTA_RNAPOL3_PATHWAY
BIOCARTA_RNA_PATHWAY                     SET       9    -0.020319  -0.00044351        0.262      0.53091 BIOCARTA_RNA_PATHWAY
BIOCARTA_S1P_PATHWAY                     SET       7     -0.40224   -0.0077436      0.33822      0.88283 BIOCARTA_S1P_PATHWAY
BIOCARTA_SALMONELLA_PATHWAY              SET       5     -0.30422   -0.0049499      0.41942      0.76587 BIOCARTA_SALMONELLA_PATHWAY
BIOCARTA_SAM68_PATHWAY                   SET       6     0.069587    0.0012403      0.30115      0.40863 BIOCARTA_SAM68_PATHWAY
BIOCARTA_SARS_PATHWAY                    SET       7      0.84608     0.016288      0.30945    0.0031306 BIOCARTA_SARS_PATHWAY
BIOCARTA_SET_PATHWAY                     SET      10     -0.22384   -0.0051501      0.29483      0.77614 BIOCARTA_SET_PATHWAY
BIOCARTA_SHH_PATHWAY                     SET      16     -0.28769   -0.0083711      0.21518      0.90937 BIOCARTA_SHH_PATHWAY
BIOCARTA_SKP2E2F_PATHWAY                 SET      10     -0.20235   -0.0046557      0.24728       0.7934 BIOCARTA_SKP2E2F_PATHWAY
BIOCARTA_SLRP_PATHWAY                    SET       5      0.79987     0.013015      0.53342     0.066879 BIOCARTA_SLRP_PATHWAY
BIOCARTA_SM_PATHWAY                      SET      14      0.83888     0.022834      0.23454   0.00017448 BIOCARTA_SM_PATHWAY
BIOCARTA_SODD_PATHWAY                    SET      10     -0.19283   -0.0044366      0.22677      0.80242 BIOCARTA_SODD_PATHWAY
BIOCARTA_SPPA_PATHWAY                    SET      16     -0.16546   -0.0048146      0.22222      0.77174 BIOCARTA_SPPA_PATHWAY
BIOCARTA_SPRY_PATHWAY                    SET      16     -0.03463   -0.0010077      0.19881      0.56914 BIOCARTA_SPRY_PATHWAY
BIOCARTA_SRCRPTP_PATHWAY                 SET      11      0.35267      0.00851      0.20696     0.044191 BIOCARTA_SRCRPTP_PATHWAY
BIOCARTA_STAT3_PATHWAY                   SET       8     0.098689     0.002031      0.30224      0.37202 BIOCARTA_STAT3_PATHWAY
BIOCARTA_STATHMIN_PATHWAY                SET      20    -0.039425   -0.0012825      0.19388      0.58057 BIOCARTA_STATHMIN_PATHWAY
BIOCARTA_STEM_PATHWAY                    SET      15     -0.31354    -0.008834       0.2053      0.93664 BIOCARTA_STEM_PATHWAY
BIOCARTA_STRESS_PATHWAY                  SET      22      0.13008    0.0044377      0.16673      0.21764 BIOCARTA_STRESS_PATHWAY
BIOCARTA_SUMO_PATHWAY                    SET       6      0.46589    0.0083038      0.31044      0.06672 BIOCARTA_SUMO_PATHWAY
BIOCARTA_TALL1_PATHWAY                   SET      14     0.017478   0.00047576      0.20546       0.4661 BIOCARTA_TALL1_PATHWAY
BIOCARTA_TCAPOPTOSIS_PATHWAY             SET       9    0.0034623   7.5573e-05      0.28321      0.49512 BIOCARTA_TCAPOPTOSIS_PATHWAY
BIOCARTA_TCRA_PATHWAY                    SET      12    -0.055217   -0.0013916      0.26591      0.58225 BIOCARTA_TCRA_PATHWAY
BIOCARTA_TCR_PATHWAY                     SET      43       0.1241    0.0059156      0.12187      0.15427 BIOCARTA_TCR_PATHWAY
BIOCARTA_TCYTOTOXIC_PATHWAY              SET      12       0.2001     0.005043      0.25833       0.2193 BIOCARTA_TCYTOTOXIC_PATHWAY
BIOCARTA_TEL_PATHWAY                     SET      17      0.50493     0.015144      0.21785     0.010238 BIOCARTA_TEL_PATHWAY
BIOCARTA_TERC_PATHWAY                    SET       6     -0.13942    -0.002485      0.26452      0.70092 BIOCARTA_TERC_PATHWAY
BIOCARTA_TERT_PATHWAY                    SET       8    -0.060446    -0.001244      0.26646      0.58973 BIOCARTA_TERT_PATHWAY
BIOCARTA_TFF_PATHWAY                     SET      24      0.18338    0.0065337      0.17175      0.14283 BIOCARTA_TFF_PATHWAY
BIOCARTA_TGFB_PATHWAY                    SET      19       0.3051    0.0096736      0.20722      0.07047 BIOCARTA_TGFB_PATHWAY
BIOCARTA_TH1TH2_PATHWAY                  SET      20     0.025227   0.00082061      0.21343      0.45296 BIOCARTA_TH1TH2_PATHWAY
BIOCARTA_THELPER_PATHWAY                 SET      12      0.17975    0.0045302      0.25812      0.24309 BIOCARTA_THELPER_PATHWAY
BIOCARTA_TID_PATHWAY                     SET      19     0.082144    0.0026045      0.18787      0.33097 BIOCARTA_TID_PATHWAY
BIOCARTA_TNFR1_PATHWAY                   SET      29     -0.27057    -0.010596      0.14239      0.97129 BIOCARTA_TNFR1_PATHWAY
BIOCARTA_TNFR2_PATHWAY                   SET      15      0.29536    0.0083216      0.19692     0.066829 BIOCARTA_TNFR2_PATHWAY
BIOCARTA_TOB1_PATHWAY                    SET      19      0.36227     0.011486      0.19771     0.033461 BIOCARTA_TOB1_PATHWAY
BIOCARTA_TOLL_PATHWAY                    SET      21      0.29514    0.0098375      0.17068     0.041891 BIOCARTA_TOLL_PATHWAY
BIOCARTA_TPO_PATHWAY                     SET      24      0.18193    0.0064822      0.16537      0.13564 BIOCARTA_TPO_PATHWAY
BIOCARTA_TRKA_PATHWAY                    SET      14      0.36933     0.010053      0.20893     0.038564 BIOCARTA_TRKA_PATHWAY
BIOCARTA_TSP1_PATHWAY                    SET       7      0.12242    0.0023567      0.36393       0.3683 BIOCARTA_TSP1_PATHWAY
BIOCARTA_TUBBY_PATHWAY                   SET       4    -0.098048    -0.001427      0.48993      0.57931 BIOCARTA_TUBBY_PATHWAY
BIOCARTA_UCALPAIN_PATHWAY                SET      13      0.05383     0.001412      0.24184      0.41193 BIOCARTA_UCALPAIN_PATHWAY
BIOCARTA_VDR_PATHWAY                     SET      24     0.096353    0.0034331      0.18336      0.29963 BIOCARTA_VDR_PATHWAY
BIOCARTA_VEGF_PATHWAY                    SET      25      0.27261    0.0099131      0.16065     0.044864 BIOCARTA_VEGF_PATHWAY
BIOCARTA_VIP_PATHWAY                     SET      26     0.092478    0.0034294      0.16835      0.29139 BIOCARTA_VIP_PATHWAY
BIOCARTA_VITCB_PATHWAY                   SET       9      0.67669     0.014771      0.33789     0.022611 BIOCARTA_VITCB_PATHWAY
BIOCARTA_VOBESITY_PATHWAY                SET       8      0.53012      0.01091      0.32533     0.051615 BIOCARTA_VOBESITY_PATHWAY
BIOCARTA_WNT_LRP6_PATHWAY                SET       6      0.15171    0.0027039      0.32153      0.31853 BIOCARTA_WNT_LRP6_PATHWAY
BIOCARTA_WNT_PATHWAY                     SET      23      0.23592     0.008229      0.16515     0.076587 BIOCARTA_WNT_PATHWAY
BLALOCK_ALZHEIMERS_DISEASE_DN            SET    1153   0.00026294   6.2962e-05     0.025034      0.49581 BLALOCK_ALZHEIMERS_DISEASE_DN
BLALOCK_ALZHEIMERS_DISEASE_I...1         SET     156      -0.1336    -0.012094      0.06379      0.98188 BLALOCK_ALZHEIMERS_DISEASE_INCIPIENT_DN
BLALOCK_ALZHEIMERS_DISEASE_I...2         SET     364     0.019265     0.002649     0.043109      0.32748 BLALOCK_ALZHEIMERS_DISEASE_INCIPIENT_UP
BLALOCK_ALZHEIMERS_DISEASE_UP            SET    1565   -0.0040239   -0.0011094     0.021587      0.57393 BLALOCK_ALZHEIMERS_DISEASE_UP
BLANCO_MELO_BETA_INTERFERON_...1         SET     194      0.10788     0.010879     0.058353     0.032255 BLANCO_MELO_BETA_INTERFERON_TREATED_BRONCHIAL_EPITHELIAL_CELLS_DN
BLANCO_MELO_BETA_INTERFERON_...2         SET     354     0.051879    0.0070367     0.046325      0.13139 BLANCO_MELO_BETA_INTERFERON_TREATED_BRONCHIAL_EPITHELIAL_CELLS_UP
BLANCO_MELO_BRONCHIAL_EPITHE...1         SET     169      0.09233     0.008696     0.055195     0.047194 BLANCO_MELO_BRONCHIAL_EPITHELIAL_CELLS_INFLUENZA_A_DEL_NS1_INFECTION_DN
BLANCO_MELO_BRONCHIAL_EPITHE...2         SET     596     0.061753     0.010797      0.03515     0.039483 BLANCO_MELO_BRONCHIAL_EPITHELIAL_CELLS_INFLUENZA_A_DEL_NS1_INFECTION_UP
BLANCO_MELO_BRONCHIAL_EPITHE...3         SET      77     -0.02436   -0.0015525     0.087351      0.60983 BLANCO_MELO_BRONCHIAL_EPITHELIAL_CELLS_INFLUENZA_A_INFECTION_DN
BLANCO_MELO_BRONCHIAL_EPITHE...4         SET     127     0.021629    0.0017679     0.071977       0.3819 BLANCO_MELO_BRONCHIAL_EPITHELIAL_CELLS_INFLUENZA_A_INFECTION_UP
BLANCO_MELO_COVID19_BRONCHIA...1         SET      51     0.018638   0.00096734      0.12657      0.44147 BLANCO_MELO_COVID19_BRONCHIAL_EPITHELIAL_CELLS_SARS_COV_2_INFECTION_DN
BLANCO_MELO_COVID19_BRONCHIA...2         SET     140      0.12252     0.010511     0.073504     0.047786 BLANCO_MELO_COVID19_BRONCHIAL_EPITHELIAL_CELLS_SARS_COV_2_INFECTION_UP
BLANCO_MELO_COVID19_SARS_COV...1         SET      91     -0.06764   -0.0046845     0.088486      0.77769 BLANCO_MELO_COVID19_SARS_COV_2_INFECTION_A594_ACE2_EXPRESSING_CELLS_DN
BLANCO_MELO_COVID19_SARS_COV...2         SET      69      0.10323    0.0062288       0.1048      0.16231 BLANCO_MELO_COVID19_SARS_COV_2_INFECTION_A594_ACE2_EXPRESSING_CELLS_RUXOLITINIB_DN
BLANCO_MELO_COVID19_SARS_COV...3         SET     393     0.013776    0.0019668     0.042089      0.37172 BLANCO_MELO_COVID19_SARS_COV_2_INFECTION_A594_ACE2_EXPRESSING_CELLS_RUXOLITINIB_UP
BLANCO_MELO_COVID19_SARS_COV...4         SET     454     0.064509    0.0098822     0.039719     0.052181 BLANCO_MELO_COVID19_SARS_COV_2_INFECTION_A594_ACE2_EXPRESSING_CELLS_UP
BLANCO_MELO_COVID19_SARS_COV...5         SET      72    -0.009653  -0.00059496     0.097782      0.53932 BLANCO_MELO_COVID19_SARS_COV_2_INFECTION_A594_CELLS_DN
BLANCO_MELO_COVID19_SARS_COV...6         SET      73      0.12128    0.0075268      0.10509      0.12423 BLANCO_MELO_COVID19_SARS_COV_2_INFECTION_A594_CELLS_UP
BLANCO_MELO_COVID19_SARS_COV...7         SET      19     0.011334   0.00035934      0.19185      0.47645 BLANCO_MELO_COVID19_SARS_COV_2_INFECTION_CALU3_CELLS_DN
BLANCO_MELO_COVID19_SARS_COV...8         SET     313      0.10821     0.013816     0.049726     0.014779 BLANCO_MELO_COVID19_SARS_COV_2_INFECTION_CALU3_CELLS_UP
BLANCO_MELO_COVID19_SARS_COV...9         SET      14     -0.10164   -0.0027666      0.25551       0.6546 BLANCO_MELO_COVID19_SARS_COV_2_LOW_MOI_INFECTION_A594_ACE2_EXPRESSING_CELLS_DN
BLANCO_MELO_COVID19_SARS_COV...10        SET     137      0.10761    0.0091331     0.068826     0.058977 BLANCO_MELO_COVID19_SARS_COV_2_LOW_MOI_INFECTION_A594_ACE2_EXPRESSING_CELLS_UP
BLANCO_MELO_COVID19_SARS_COV...11        SET     167    0.0011457   0.00010727     0.058904      0.49224 BLANCO_MELO_COVID19_SARS_COV_2_POS_PATIENT_LUNG_TISSUE_DN
BLANCO_MELO_COVID19_SARS_COV...12        SET     148    -0.059522   -0.0052492     0.070423        0.801 BLANCO_MELO_COVID19_SARS_COV_2_POS_PATIENT_LUNG_TISSUE_UP
BLANCO_MELO_HUMAN_PARAINFLUE...1         SET     103     0.032611     0.002402     0.079335      0.34052 BLANCO_MELO_HUMAN_PARAINFLUENZA_VIRUS_3_INFECTION_A594_CELLS_DN
BLANCO_MELO_HUMAN_PARAINFLUE...2         SET     195      0.12348     0.012483     0.062162     0.023505 BLANCO_MELO_HUMAN_PARAINFLUENZA_VIRUS_3_INFECTION_A594_CELLS_UP
BLANCO_MELO_INFLUENZA_A_INFE...1         SET     107    -0.056245   -0.0042221     0.074148      0.77593 BLANCO_MELO_INFLUENZA_A_INFECTION_A594_CELLS_DN
BLANCO_MELO_INFLUENZA_A_INFE...2         SET      37    -0.091347   -0.0040398      0.13808      0.74586 BLANCO_MELO_INFLUENZA_A_INFECTION_A594_CELLS_UP
BLANCO_MELO_MERS_COV_INFECTI...1         SET      34      0.29189     0.012375      0.13465     0.015094 BLANCO_MELO_MERS_COV_INFECTION_MCR5_CELLS_DN
BLANCO_MELO_MERS_COV_INFECTI...2         SET     253     0.052852    0.0060769     0.051749      0.15356 BLANCO_MELO_MERS_COV_INFECTION_MCR5_CELLS_UP
BLANCO_MELO_RESPIRATORY_SYNC...1         SET     107      0.13773     0.010339     0.077202     0.037219 BLANCO_MELO_RESPIRATORY_SYNCYTIAL_VIRUS_INFECTION_A594_CELLS_DN
BLANCO_MELO_RESPIRATORY_SYNC...2         SET     276     0.086432     0.010373     0.052169     0.048794 BLANCO_MELO_RESPIRATORY_SYNCYTIAL_VIRUS_INFECTION_A594_CELLS_UP
BLANCO_MELO_SARS_COV_1_INFEC...1         SET       9      0.10082    0.0022006      0.28289      0.36078 BLANCO_MELO_SARS_COV_1_INFECTION_MCR5_CELLS_DN
BLANCO_MELO_SARS_COV_1_INFEC...2         SET      12     -0.34965    -0.008812      0.21511      0.94796 BLANCO_MELO_SARS_COV_1_INFECTION_MCR5_CELLS_UP
BLUM_RESPONSE_TO_SALIRASIB_DN            SET     320     0.025105    0.0032404     0.045316       0.2898 BLUM_RESPONSE_TO_SALIRASIB_DN
BLUM_RESPONSE_TO_SALIRASIB_UP            SET     235    0.0089447   0.00099167     0.051367      0.43088 BLUM_RESPONSE_TO_SALIRASIB_UP
BOCHKIS_FOXA2_TARGETS                    SET     414     0.007999    0.0011714     0.039195      0.41915 BOCHKIS_FOXA2_TARGETS
BOGNI_TREATMENT_RELATED_MYEL...1         SET      30    -0.010688  -0.00042569      0.15402      0.52766 BOGNI_TREATMENT_RELATED_MYELOID_LEUKEMIA_DN
BOGNI_TREATMENT_RELATED_MYEL...2         SET      27     -0.01934  -0.00073082      0.13897      0.55534 BOGNI_TREATMENT_RELATED_MYELOID_LEUKEMIA_UP
BOHN_PRIMARY_IMMUNODEFICIENC...1         SET      37     0.097211    0.0042991      0.14032      0.24424 BOHN_PRIMARY_IMMUNODEFICIENCY_SYNDROM_DN
BOHN_PRIMARY_IMMUNODEFICIENC...2         SET      45      0.36218      0.01766       0.1219    0.0014858 BOHN_PRIMARY_IMMUNODEFICIENCY_SYNDROM_UP
BONCI_TARGETS_OF_MIR15A_AND_...          SET      91     0.009292   0.00064353     0.086721      0.45734 BONCI_TARGETS_OF_MIR15A_AND_MIR16_1
BONOME_OVARIAN_CANCER_POOR_S...1         SET      19     -0.21017   -0.0066636      0.18019      0.87825 BONOME_OVARIAN_CANCER_POOR_SURVIVAL_DN
BONOME_OVARIAN_CANCER_POOR_S...2         SET      29    -0.057306   -0.0022441      0.15536      0.64388 BONOME_OVARIAN_CANCER_POOR_SURVIVAL_UP
BONOME_OVARIAN_CANCER_SURVIV...1         SET     224    -0.035739   -0.0038696     0.056274      0.73731 BONOME_OVARIAN_CANCER_SURVIVAL_OPTIMAL_DEBULKING
BONOME_OVARIAN_CANCER_SURVIV...2         SET     465    0.0027108   0.00042014     0.038226      0.47173 BONOME_OVARIAN_CANCER_SURVIVAL_SUBOPTIMAL_DEBULKING
BOQUEST_STEM_CELL_CULTURED_V...1         SET      31     -0.02161  -0.00087491      0.15043      0.55711 BOQUEST_STEM_CELL_CULTURED_VS_FRESH_DN
BOQUEST_STEM_CELL_CULTURED_V...2         SET     400      0.04615    0.0066457     0.043739      0.14569 BOQUEST_STEM_CELL_CULTURED_VS_FRESH_UP
BOQUEST_STEM_CELL_DN                     SET     211     0.044821    0.0047116     0.062016      0.23493 BOQUEST_STEM_CELL_DN
BOQUEST_STEM_CELL_UP                     SET     240      0.11836     0.013259      0.05895     0.022339 BOQUEST_STEM_CELL_UP
BORCZUK_MALIGNANT_MESOTHELIO...1         SET      90      0.14171    0.0097606     0.081854      0.04171 BORCZUK_MALIGNANT_MESOTHELIOMA_DN
BORCZUK_MALIGNANT_MESOTHELIO...2         SET     282    -0.069639   -0.0084468     0.046272      0.93382 BORCZUK_MALIGNANT_MESOTHELIOMA_UP
BORLAK_LIVER_CANCER_EGF_UP               SET      49      0.14491    0.0073726      0.12902      0.13069 BORLAK_LIVER_CANCER_EGF_UP
BOSCO_ALLERGEN_INDUCED_TH2_A...          SET     140     -0.06521   -0.0055943     0.073122      0.81374 BOSCO_ALLERGEN_INDUCED_TH2_ASSOCIATED_MODULE
BOSCO_EPITHELIAL_DIFFERENTIA...          SET      60      -0.1083   -0.0060952      0.11349      0.83002 BOSCO_EPITHELIAL_DIFFERENTIATION_MODULE
