# MEAN_SAMPLE_SIZE = 50094
# TOTAL_GENES = 18882
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
VARIABLE                                TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
ALCALAY_AML_BY_NPM1_LOCALIZA...2         SET     131      0.14466     0.012008     0.084201     0.042907 ALCALAY_AML_BY_NPM1_LOCALIZATION_UP
ALCALA_APOPTOSIS                         SET      84    -0.049413   -0.0032885     0.096163      0.69632 ALCALA_APOPTOSIS
ALFANO_MYC_TARGETS                       SET     231      0.01547    0.0017006     0.059078      0.39672 ALFANO_MYC_TARGETS
ALONSO_METASTASIS_DN                     SET      23      0.19188    0.0066929      0.18195      0.14582 ALONSO_METASTASIS_DN
ALONSO_METASTASIS_EMT_DN                 SET       5      0.40715    0.0066248      0.48456      0.20039 ALONSO_METASTASIS_EMT_DN
ALONSO_METASTASIS_EMT_UP                 SET      32     -0.16603   -0.0068295      0.14854      0.86816 ALONSO_METASTASIS_EMT_UP
ALONSO_METASTASIS_NEURAL_UP              SET      16      0.11337    0.0032987       0.2193       0.3026 ALONSO_METASTASIS_NEURAL_UP
ALONSO_METASTASIS_UP                     SET     177     0.023937    0.0023067     0.065557      0.35751 ALONSO_METASTASIS_UP
ALTEMEIER_RESPONSE_TO_LPS_WI...          SET     114     0.075373    0.0058391     0.087306      0.19399 ALTEMEIER_RESPONSE_TO_LPS_WITH_MECHANICAL_VENTILATION
AMBROSINI_FLAVOPIRIDOL_TREAT...          SET     104     -0.04532   -0.0033542     0.090692      0.69136 AMBROSINI_FLAVOPIRIDOL_TREATMENT_TP53
AMIT_DELAYED_EARLY_GENES                 SET      18     -0.29366   -0.0090629      0.24084      0.88863 AMIT_DELAYED_EARLY_GENES
AMIT_EGF_RESPONSE_120_HELA               SET      65     0.096207    0.0056351       0.1088      0.18829 AMIT_EGF_RESPONSE_120_HELA
AMIT_EGF_RESPONSE_120_MCF10A             SET      40     0.013695   0.00062967        0.142      0.46159 AMIT_EGF_RESPONSE_120_MCF10A
AMIT_EGF_RESPONSE_20_HELA                SET      11    -0.076553   -0.0018472      0.31703       0.5954 AMIT_EGF_RESPONSE_20_HELA
AMIT_EGF_RESPONSE_20_MCF10A              SET      12    -0.032054  -0.00080783      0.27748      0.54598 AMIT_EGF_RESPONSE_20_MCF10A
AMIT_EGF_RESPONSE_240_HELA               SET      59      0.24198     0.013506       0.1183      0.02041 AMIT_EGF_RESPONSE_240_HELA
AMIT_EGF_RESPONSE_240_MCF10A             SET      21     0.036486    0.0012161      0.23579      0.43851 AMIT_EGF_RESPONSE_240_MCF10A
AMIT_EGF_RESPONSE_40_HELA                SET      42      0.31835     0.014998      0.15652     0.020988 AMIT_EGF_RESPONSE_40_HELA
AMIT_EGF_RESPONSE_40_MCF10A              SET      17     -0.10028   -0.0030078      0.21251       0.6815 AMIT_EGF_RESPONSE_40_MCF10A
AMIT_EGF_RESPONSE_480_HELA               SET     159      0.16145     0.014753     0.074321     0.014921 AMIT_EGF_RESPONSE_480_HELA
AMIT_EGF_RESPONSE_480_MCF10A             SET      42      0.17606    0.0082945      0.14431      0.11124 AMIT_EGF_RESPONSE_480_MCF10A
AMIT_EGF_RESPONSE_60_HELA                SET      44     0.022186    0.0010697      0.14602      0.43962 AMIT_EGF_RESPONSE_60_HELA
AMIT_EGF_RESPONSE_60_MCF10A              SET      37      0.27245     0.012049      0.15514     0.039534 AMIT_EGF_RESPONSE_60_MCF10A
AMIT_SERUM_RESPONSE_120_MCF1...          SET      63    0.0079771   0.00046002      0.11338      0.47195 AMIT_SERUM_RESPONSE_120_MCF10A
AMIT_SERUM_RESPONSE_20_MCF10A            SET      16     0.053269      0.00155      0.20891      0.39937 AMIT_SERUM_RESPONSE_20_MCF10A
AMIT_SERUM_RESPONSE_240_MCF1...          SET      55      0.11254    0.0060654      0.12277      0.17965 AMIT_SERUM_RESPONSE_240_MCF10A
AMIT_SERUM_RESPONSE_40_MCF10A            SET      30     0.025484     0.001015      0.18381      0.44487 AMIT_SERUM_RESPONSE_40_MCF10A
AMIT_SERUM_RESPONSE_480_MCF1...          SET      32    -0.081653   -0.0033587      0.15334       0.7028 AMIT_SERUM_RESPONSE_480_MCF10A
AMIT_SERUM_RESPONSE_60_MCF10A            SET      56        0.318     0.017293      0.13702     0.010152 AMIT_SERUM_RESPONSE_60_MCF10A
AMUNDSON_DNA_DAMAGE_RESPONSE...          SET      16     -0.37329    -0.010862      0.24122      0.93912 AMUNDSON_DNA_DAMAGE_RESPONSE_TP53
AMUNDSON_RESPONSE_TO_ARSENITE            SET     200    -0.014711    -0.001506     0.061572      0.59441 AMUNDSON_RESPONSE_TO_ARSENITE
ANASTASSIOU_MULTICANCER_INVA...          SET      62      0.15811    0.0090456      0.12608      0.10492 ANASTASSIOU_MULTICANCER_INVASIVENESS_SIGNATURE
